TOTAL	GeneChunk	runMONSTER	didFAIL	isMISSING
PCGF1	5163	FALSE	TRUE	FALSE
RTTN	5164	TRUE	FALSE	FALSE
MAP3K3	5165	TRUE	FALSE	FALSE
DPYSL5	5166	TRUE	FALSE	FALSE
AL034550.1	5167	TRUE	FALSE	FALSE
SOS1	5168	TRUE	FALSE	FALSE
HIST1H1D	5169	TRUE	FALSE	FALSE
KCNJ14	5170	TRUE	FALSE	FALSE
SET	5171	TRUE	FALSE	FALSE
BRD7	5172	TRUE	FALSE	FALSE
LGI3	5173	TRUE	FALSE	FALSE
RPS11	5174	TRUE	FALSE	FALSE
RP13-582O9.6	5175	TRUE	FALSE	FALSE
SLC6A19	5176	TRUE	FALSE	FALSE
RASGEF1B	5177	TRUE	FALSE	FALSE
STOM	5178	TRUE	FALSE	FALSE
TGFB3	5179	TRUE	FALSE	FALSE
CELF4	5180	TRUE	FALSE	FALSE
SLC7A6	5181	TRUE	FALSE	FALSE
SAMD14	5182	TRUE	FALSE	FALSE
CEP126	5183	TRUE	FALSE	FALSE
SHOC2	5184	TRUE	FALSE	FALSE
SNRNP40	5185	TRUE	FALSE	FALSE
PTPRU	5186	TRUE	FALSE	FALSE
RP11-195F19.29	5187	TRUE	FALSE	FALSE
SYCP2L	5188	TRUE	FALSE	FALSE
ATF6B	5189	TRUE	FALSE	FALSE
MPND	5190	TRUE	FALSE	FALSE
HSBP1L1	5191	TRUE	FALSE	FALSE
SMIM12	5192	TRUE	FALSE	FALSE
RRAGC	5193	TRUE	FALSE	FALSE
CDC40	5194	TRUE	FALSE	FALSE
AQP3	5195	TRUE	FALSE	FALSE
PLCXD3	5196	TRUE	FALSE	FALSE
AURKAIP1	5197	TRUE	FALSE	FALSE
PPP3CC	5198	TRUE	FALSE	FALSE
VPS52	5199	TRUE	FALSE	FALSE
LPL	5200	TRUE	FALSE	FALSE
RPRD2	5201	TRUE	FALSE	FALSE
DCST2	5202	TRUE	FALSE	FALSE
INTS9	5203	TRUE	FALSE	FALSE
FOXN3	5204	TRUE	FALSE	FALSE
SMAP2	5205	TRUE	FALSE	FALSE
PPP3CB	5206	TRUE	FALSE	FALSE
