CurrentGene,StoufferMetaP,StoufferMetaP_FDR,StoufferMetaEuropeanP,StoufferMetaEuropeanP_FDR,MetalMetaP,MetalMetaEuropeanP,MetalMetaP_FDR,MetalMetaEuropeanP_FDR,Number_missingPvalues
SOX10,0.22908172299485074,0.7669128030084983,0.14459578319557917,0.7343810536469879,3.2068699726874966e-4,7.797210690268565e-4,0.001626391713721606,0.004515210847610995,0
OBSCN,0.8646888549618306,0.9500738678429511,0.68120378920136,0.9024582239531552,0.019402549303119278,0.017535282028624845,0.02290718540715607,0.024904174660731377,0
RAMP1,0.3153121745464556,0.8033115935177984,0.1131109268172212,0.7062593698148159,0.001520631393560571,9.873926507002605e-4,0.003753505613126166,0.0050081122571437285,0
COL11A2,0.08659201203185311,0.6698784050053824,0.05666081691923659,0.6318853119093872,7.775236772146775e-5,1.2704860196478078e-4,8.567206876533819e-4,0.002115117787129511,0
PAPD4,9.69617803093474e-5,0.1005281489778003,5.729038002715229e-4,0.24516190481619243,4.7507862745033365e-8,1.23453053247166e-6,3.40978548725026e-5,4.266217456750675e-4,0
ARID5B,0.8337156050821586,0.9409989163956634,0.8004078817007476,0.9339220570691613,0.024071813476236555,0.038421276489323926,0.027611046240091607,0.045719898008370986,0
PLK1,0.1985607027633925,0.746288962203723,0.25905274591276306,0.7977433442677255,2.599700011191943e-4,0.0010582086957987215,0.0014742383795769121,0.005165551624793804,0
RPRD1B,0.030743237505701935,0.5613010406766691,0.12922031251307184,0.7206326302917876,5.075862723455067e-5,0.0010912691352847792,7.099130096200432e-4,0.00524100020600423,1
P2RY2,0.9795535420577888,0.9892589557795219,0.9882912127852315,0.9933425871160962,0.058324273901158866,0.12295532568649614,0.062055378030077296,0.13002773051318736,1
EEF1D,0.9806611451344764,0.9897193157474435,0.9857188966195618,0.9925668513050245,0.10283070921011353,0.18035463200756166,0.10758108788304808,0.1884855391965226,0
ZNF367,0.2812419876236386,0.7900135990832003,0.36857165611984666,0.8272150818484021,0.0018449966286752618,0.008564256869776458,0.004198205351507019,0.015193231053037218,0
CCDC167,0.06447430234911639,0.6354163502766482,0.058187468552145793,0.6365206161215559,4.4258817033842074e-5,9.033052686234733e-5,6.781396124965408e-4,0.001908326335852202,0
QKI,0.31215765181348487,0.8022259156970859,0.14457663583252303,0.7343810536469879,0.0010560536877478035,8.290940439452819e-4,0.0030496777881556425,0.0046366712472688315,0
ARL15,0.06047961116284121,0.6314195958141563,0.15695117690182683,0.7448860582140305,3.2326788523240906e-5,4.8076981172028835e-4,6.011143556769194e-4,0.003673892488334275,0
WDFY2,0.03035708705170742,0.5613010406766691,0.09398453356455526,0.6841722147043121,2.9480775803120864e-5,5.063960046050945e-4,5.827762259131763e-4,0.0037552562563717834,0
LCK,0.8382620591661997,0.9425620253139648,0.810904286733273,0.9372677419940252,0.009212908256797242,0.015203785828246769,0.012475297945003508,0.022454914708422077,0
FBXO25,0.09485895617210627,0.6790625024758304,0.044835277647264395,0.6103812715184934,3.5265529928214654e-4,4.185155960854704e-4,0.001707550736871857,0.003441273138949677,1
TSPAN1,0.10926945878378283,0.6940915548311837,0.20490651047062572,0.77381963823704,1.1073214826240937e-4,7.553895983929312e-4,9.949102603906128e-4,0.004436385775545933,0
TBC1D32,0.07261821881808975,0.648864248594268,0.038030247824769124,0.5975094951099253,3.217369143836343e-5,4.003594368502891e-5,6.009942501814815e-4,0.0014273938740425086,0
IP6K2,0.16160068050748924,0.7281647374531048,0.02140212009687773,0.5305601133507214,1.2496805783142987e-4,4.859002515065617e-5,0.0010505369190714675,0.0015368448463328724,0
NPIPB11,0.7339781436338578,0.9136357375688039,0.5782535863907382,0.8794171355729175,0.010517659752961594,0.013328358743474468,0.013828651352780687,0.02047925092729329,0
CDC42EP1,0.6173124717988694,0.8864966178713141,0.3360720335608933,0.8185590170303827,0.003067160594442023,0.002868197548339531,0.005752503483554782,0.008270875563353222,0
MUS81,0.03614797465244471,0.5716803732118515,0.16151761136046736,0.7484308082687768,3.994503335422815e-5,0.0011354231479973524,6.587589370973914e-4,0.005314304330268019,0
ATP13A1,0.05926242856249136,0.6311006384975759,0.0655597535976387,0.6401032431971756,2.4225547360967836e-4,9.605670033369099e-4,0.0014204273674597286,0.00496168513214261,1
TMX1,0.11141769915166706,0.6973379679360917,0.13889576589443883,0.7256877801699363,1.3723224114463856e-4,5.571026614292015e-4,0.0010921504536176958,0.003895300029824384,0
SP4,0.359532573688418,0.8198898540277447,0.44286631289245626,0.8473537972295698,4.7960849662328646e-4,0.001902936605959271,0.0020036685746786997,0.006799219948741543,0
TSSK4,0.20494282899323754,0.750832624848891,0.25227854003449063,0.7966868876398303,7.62371935983363e-4,0.0024139527501744044,0.0025551675034836308,0.007585465865892137,0
KRT86,0.17331493013334096,0.7364074430544365,0.22285749817419984,0.7823194285319731,0.0014345505676314353,0.004914132035880156,0.003620523146141495,0.010969009406986637,1
TCEANC2,0.7523496463892668,0.9189910156766017,0.7997262121059842,0.9337575267863037,0.007336480136277757,0.02067455658498316,0.01053204522063845,0.02808530977887244,0
FAAP24,0.15248618870003983,0.7248639738322084,0.10336108480675851,0.6956245328924404,5.674923295433603e-4,8.692251075948044e-4,0.0021884633935955046,0.004750901569159705,0
IGSF8,0.6133151458905587,0.885529355522198,0.49921221589797576,0.8628983726885325,0.006244055318691576,0.01132107928033691,0.009360565255631708,0.018275316647955626,1
PRR14L,0.06679925343722357,0.6373847578071625,0.20932225901139276,0.7773728795128002,2.2593288965956456e-4,0.0032824682651624846,0.0013737809234073426,0.008907117532567363,0
RHCE,0.7738685827829952,0.9231734183254661,0.8372348886177584,0.944021082366679,0.02707460229414222,0.08093129806261318,0.030600154649081703,0.08771395941145456,2
GALNT12,0.24150882009503483,0.7703031067890441,0.24342217514410136,0.794441258403418,0.0014102893805496577,0.0032739009372886626,0.0035876515390232356,0.00889998358251367,0
OR2B6,0.7092367304960587,0.9071517805340306,0.8559799270992646,0.9497045447008162,0.013359187843863973,0.06090432150490603,0.016766144619970787,0.06778003003357894,0
TMEM30A,0.44790331086765545,0.8512647184722634,0.6999292121476937,0.9081998336557068,0.0023706321282487295,0.020227553460020805,0.004896874711672519,0.02763904042743269,0
APOC3,0.3427699587436396,0.8151560335673133,0.1054519421029582,0.7000803019334324,6.875395205875747e-4,3.4918821720934925e-4,0.0024135016918142836,0.0031786569367109703,0
ARL6IP4,0.004280820575457549,0.3604505700142125,0.011411729090671965,0.4744832132628237,2.5602761667812503e-6,3.0373211706512983e-5,2.2728927344506527e-4,0.0012893598272458488,0
METTL13,0.23652709916316889,0.7684113287354182,0.1555194404792436,0.7426011965285455,0.0014326541246484415,0.002050477573827998,0.003618033390131832,0.007013974110703407,1
PLEKHA7,0.46651523546458756,0.8534413658580662,0.3926974368925973,0.8360692531145556,0.007804414508113817,0.01174489753615031,0.011026510397801238,0.018721408808584687,1
PEG3,0.47524863207722373,0.8552237780340399,0.3164756273673612,0.8138408483442505,0.004443453503327433,0.004503439945849449,0.007360135436321074,0.010462984665026964,0
PPM1D,0.10120402602618395,0.6832008321731217,0.4271519345612592,0.8432445663829287,3.8211354425393484e-4,0.01290293291731949,0.0017792878233477063,0.020006782814299875,2
CCDC33,0.5380929648235873,0.8711589256578928,0.5189743766899029,0.866265239545133,0.00584216051148984,0.011350008595860136,0.008927953074655583,0.018303858395125334,0
CD27,0.3679057614124921,0.8235525885627758,0.3988184537615205,0.8368214177204085,0.0037333962395828656,0.010476369477109036,0.006536157916019875,0.017328692887116217,1
PRRT3,0.0621559897294451,0.6315963967250396,0.02231942543004245,0.5329982081628267,2.2505936932861695e-4,2.0600677901649837e-4,0.0013707638596779067,0.002537122469466695,1
CTD-2535L24.2,0.4561984895105209,0.8528874761839953,0.6673392188137828,0.8984950633793776,0.01169701822810679,0.055219032647641185,0.01505054520821215,0.0621197473015211,3
PPARD,0.4968875886575262,0.8624402748115427,0.37559822116244557,0.8304375481550786,0.0032159189801088048,0.0040210549115753105,0.005930300080968333,0.009860302983562007,0
GMDS,0.38088707361348606,0.829205356219204,0.33062835301264204,0.8177699068449475,0.0016241710423230077,0.003429817432023638,0.0038968802913304456,0.00909953835370097,0
REM2,0.7125748894815869,0.9074295813822163,0.7120645069547714,0.9108202536117077,0.010018213453806072,0.018303897608411408,0.013305094389116442,0.02568027021025452,0
OSCAR,0.16963833433749254,0.7337738523076702,0.19904554315433587,0.7710831131197379,6.36866344990258e-4,0.0019025270991183839,0.002330306443894746,0.006799219948741543,0
FUBP3,0.42911188886142976,0.8457417361264277,0.5418947745268823,0.8705219355146425,0.0053220396293740075,0.025018369156571248,0.008356786817348213,0.03243488862239656,1
ZFP28,0.4854875660986618,0.8593238451568553,0.29824228803433106,0.8070279173659927,0.0029970667966238295,0.0028844759695224598,0.005663308409274538,0.008290036357193688,0
WFDC10B,0.8825306254497968,0.9562982262102324,0.9480204303838209,0.9780068970250497,0.020674787428966876,0.0668325359648107,0.024196438269799364,0.07362231131282954,1
GSTZ1,0.4335161378860947,0.8460086128681825,0.2525506771406302,0.7966868876398303,0.0013906292778465316,0.0014294196126976993,0.0035650416356971053,0.005898471678746293,0
GNPDA2,0.9150098027692594,0.9653246822398865,0.9126213645792413,0.965082595056643,0.03955309099193841,0.08449781366776735,0.04310577766749768,0.09132478285962042,0
SLC39A4,0.2696980852374278,0.7835431113787424,0.4896119368484109,0.8593264890587882,4.8558947008673666e-4,0.004325463620344755,0.0020101120455387296,0.010240735424924317,0
CA4,0.1483782334723264,0.7222683309223634,0.04831425186837061,0.6197341704270759,0.0019831409710283727,0.0018317308974754643,0.004380091568275591,0.006659250005413918,2
KLHL29,0.00988002584904795,0.4353547732201628,0.0030175776735463433,0.37968277213062923,6.5803104720669124e-6,6.831531823740085e-6,3.2261576318827256e-4,7.813008673940241e-4,0
ERICH4,0.730397401474212,0.9123322194124559,0.849674580438075,0.9480896524587136,0.002912787652531526,0.02018905503315863,0.005564083364099785,0.027608673308938386,0
SHANK1,0.1827083603416987,0.7410268760788964,0.5186609371194928,0.866265239545133,7.661105952623444e-4,0.016608693482688043,0.002561815701715667,0.023933191434783133,0
PDZD9,0.8695715524279105,0.9513695369833787,0.809818299174375,0.9369672607518714,0.013516496787393976,0.017661916688451518,0.01692259956722972,0.025023422991578108,0
NINJ1,0.19664169874037857,0.7448284277293811,0.35957226002040243,0.8256354396672639,1.4739777007666307e-4,0.0019347578844575734,0.0011199616576392062,0.006847054216169691,0
MPZL2,0.44533339520023874,0.8504829406355507,0.4480718901020723,0.8475313376914163,0.003792055533607866,0.00877542765611396,0.006600071727176452,0.01544597769201496,0
KCNG2,0.056467444835084576,0.6289964270386875,0.07494508575142218,0.6518680767440497,9.231357452783129e-4,0.00347718074774874,0.002838931467145451,0.009153982130982658,2
KHDC3L,0.07937828888896432,0.6614782022480895,0.19428241521669667,0.769127279447068,1.599671156694164e-4,0.0016951788884827573,0.0011587298291481903,0.006399910667350677,0
ARFGEF1,0.4117637114718887,0.8408882223156108,0.4004847708574185,0.8368214177204085,8.021015216261514e-4,0.00147382858690241,0.0026250467371212926,0.005994576124713573,0
SLC23A3,0.6924413393342551,0.9042565333973205,0.8297572104497344,0.9425626560114446,0.00987998601926905,0.04205021687995227,0.013158976454612786,0.04925301890514621,0
CD300LB,0.09437463762246104,0.6788460265739723,0.23944443093255616,0.7917141302483675,0.0012678042149489857,0.013420156696962018,0.0033871204158501186,0.020549236409453372,2
CLASP2,0.35021896336006053,0.8170160952329582,0.1703478482170362,0.7576495610009383,0.0014979464831196688,0.0011162088083476456,0.0037181669754583853,0.005293957721205865,0
USH2A,0.054316391098107326,0.6247267996453841,0.09243352308713107,0.6833813480476018,6.525942691790842e-5,3.7263853629836103e-4,7.928425558040944e-4,0.0032617111318710345,0
C5orf67,0.2290292471998668,0.7669128030084983,0.12829614066457642,0.7185433388151374,2.638245005133975e-4,2.2804072966696833e-4,0.001487985290755291,0.0026219851677390135,0
ZNF75A,0.2834837952328154,0.790501001861874,0.3002673095466084,0.8070279173659927,5.10199602436067e-4,0.0012605179839086838,0.002066503113435745,0.0055793467973719035,0
SNAP25,0.2641518905122041,0.781419505803205,0.4516372290777608,0.8500150771578149,4.587558716298565e-4,0.004003032573349743,0.0019567641875393718,0.009839949739371598,0
SMCP,0.6899695549243896,0.9037913604710255,0.7725563497568604,0.9264341329841629,0.007419459702860401,0.023359422337231487,0.010628611826996879,0.03074770263349628,0
RPL23A,0.6533381441400726,0.8953295347523446,0.5149874834226983,0.8657207105190771,0.005129441026075134,0.00638050248721473,0.008147118817566438,0.01275348724442096,0
FAT2,0.7364989103778768,0.9145134408496239,0.9192197691482183,0.9668834149295329,0.00631639618132971,0.048232194098699145,0.009437171268198057,0.05529649038986451,0
ADGRL2,0.6508128978577126,0.895022057884016,0.7423698828676155,0.9179879277694433,0.017709741372191633,0.06089003329424075,0.021210216758502213,0.06776817029306535,1
